approach,param_name,param_value,target_prompt,generation,max_fitness,mean_fitness,diversity,centroid_dist,stagnant_streak
2:3:1,structure,2,[simulated],0,-0.10728141665458679,-0.13802077372868857,0.21073214610417684,-1.0,0
2:3:1,structure,2,[simulated],1,-0.10728141665458679,-0.12194987386465073,0.1728539188702901,0.13506436347961426,0
2:3:1,structure,2,[simulated],2,-0.05753817781805992,-0.10777521816392739,0.15925461451212566,0.12350940704345703,0
2:3:1,structure,2,[simulated],3,-0.05753817781805992,-0.08318527974188328,0.14202535152435303,0.024358510971069336,0
2:3:1,structure,2,[simulated],4,0.01135427225381136,-0.05572701975082358,0.09192231496175131,0.06032299995422363,0
2:3:1,structure,2,[simulated],5,0.030110297724604607,-0.012636965761582056,0.11412886778513591,0.0969359278678894,0
2:3:1,structure,2,[simulated],6,0.030110297724604607,0.015192510404934486,0.06425275405248006,0.002129852771759033,1
2:3:1,structure,2,[simulated],7,0.03492920100688934,0.026636752920846146,0.08267218271891276,0.006290733814239502,2
2:3:1,structure,2,[simulated],0,-0.11752957105636597,-0.13115944589177767,0.20428113937377929,-1.0,0
2:3:1,structure,2,[simulated],1,-0.10338665544986725,-0.12095581367611885,0.10271204710006714,0.08312875032424927,0
2:3:1,structure,2,[simulated],2,-0.05751883611083031,-0.10255841227869193,0.16628159681955973,0.1358586549758911,0
2:3:1,structure,2,[simulated],3,-0.01369732990860939,-0.07631645475824674,0.16745758056640625,0.13887912034988403,0
2:3:1,structure,2,[simulated],4,-0.01369732990860939,-0.046136646841963135,0.15003253221511842,0.020898282527923584,0
2:3:1,structure,2,[simulated],5,0.021521279588341713,-0.019488082577784855,0.06662360827128093,0.04533851146697998,0
2:3:1,structure,2,[simulated],6,0.021521279588341713,-0.00011167054375012715,0.14117765029271442,0.016204237937927246,0
2:3:1,structure,2,[simulated],7,0.021521279588341713,0.008641149227817854,0.13470512628555298,0.0006981492042541504,1
2:3:1,structure,2,[simulated],0,-0.11392655968666077,-0.13400555153687796,0.21164294481277465,-1.0,0
2:3:1,structure,2,[simulated],1,-0.07415340840816498,-0.1128790241976579,0.1670335332552592,0.09732842445373535,0
2:3:1,structure,2,[simulated],2,-0.0005292035639286041,-0.08034955399731795,0.20043728351593018,0.17665106058120728,0
2:3:1,structure,2,[simulated],3,-0.0005292035639286041,-0.03528871635595957,0.13855279286702474,0.11540430784225464,0
2:3:1,structure,2,[simulated],4,-0.0005292035639286041,-0.01783909338215987,0.11646994352340698,0.008840560913085938,1
2:3:1,structure,2,[simulated],5,0.037930697202682495,-0.0009736344218254089,0.10252208312352498,0.07310128211975098,0
2:3:1,structure,2,[simulated],6,0.037930697202682495,0.023523240660627682,0.1266861359278361,0.031012654304504395,0
2:3:1,structure,2,[simulated],7,0.037930697202682495,0.028285041451454163,0.08186893860499064,0.0019882917404174805,1
2:3:1,structure,2,[simulated],0,-0.12943542003631592,-0.1397781347235044,0.2113911032676697,-1.0,0
2:3:1,structure,2,[simulated],1,-0.1256711333990097,-0.13320236404736838,0.16310700178146362,0.13547301292419434,0
2:3:1,structure,2,[simulated],2,-0.1256711333990097,-0.13429922113815942,0.14371882677078246,1.1920928955078125e-07,1
2:3:1,structure,2,[simulated],3,-0.1256711333990097,-0.13196148226658502,0.14668750365575153,0.11358761787414551,0
2:3:1,structure,2,[simulated],4,-0.12418238818645477,-0.12706356992324194,0.09905009269714356,0.011977434158325195,0
2:3:1,structure,2,[simulated],5,-0.10621170699596405,-0.12415654708941777,0.08947356939315795,0.06589096784591675,0
2:3:1,structure,2,[simulated],6,-0.06675693392753601,-0.10881318648656209,0.15723158518473307,0.1292722225189209,0
2:3:1,structure,2,[simulated],7,-0.04400187358260155,-0.0814678290237983,0.2044898549715678,0.16618067026138306,0
2:3:1,structure,2,[simulated],0,-0.12863191962242126,-0.14557471126317978,0.2020304004351298,-1.0,0
2:3:1,structure,2,[simulated],1,-0.0998888686299324,-0.12728594367702803,0.12218549648920694,0.08717870712280273,0
2:3:1,structure,2,[simulated],2,-0.013974563218653202,-0.10152915259823203,0.19896493554115297,0.14952129125595093,0
2:3:1,structure,2,[simulated],3,0.03166836127638817,-0.04704233522837361,0.20721686681111653,0.17367607355117798,0
2:3:1,structure,2,[simulated],4,0.03166836127638817,0.014114708794901768,0.15048001209894815,0.12790310382843018,0
2:3:1,structure,2,[simulated],5,0.03249822556972504,0.02986943194021781,0.1581208864847819,0.024043738842010498,0
2:3:1,structure,2,[simulated],6,0.05076280236244202,0.03481252181033293,0.06222990353902181,0.04273808002471924,0
2:3:1,structure,2,[simulated],7,0.058278124779462814,0.03587357699871063,0.12663674354553223,0.018376827239990234,0
1:4:1,structure,1,[simulated],0,-0.11392655968666077,-0.13565188646316528,0.20435674985249838,-1.0,0
1:4:1,structure,1,[simulated],1,-0.0820048376917839,-0.11619581033786137,0.1209796667098999,0.11121594905853271,0
1:4:1,structure,1,[simulated],2,-0.07202062010765076,-0.09778625145554543,0.11680766741434732,0.1137624979019165,0
1:4:1,structure,1,[simulated],3,-0.07082617282867432,-0.07734725872675578,0.0787083109219869,0.0808948278427124,0
1:4:1,structure,1,[simulated],4,-0.017164595425128937,-0.06405100723107655,0.08412852684656778,0.07902222871780396,0
1:4:1,structure,1,[simulated],5,-0.017164595425128937,-0.033412618873020015,0.1050670584042867,0.1023147702217102,0
1:4:1,structure,1,[simulated],6,-0.017164595425128937,-0.026967390440404415,0.16206487814585369,0.01259458065032959,0
1:4:1,structure,1,[simulated],7,-0.005688016768544912,-0.018048772200321157,0.1024954636891683,0.08138322830200195,0
1:4:1,structure,1,[simulated],0,-0.10823268443346024,-0.12805304552117983,0.19854915142059326,-1.0,0
1:4:1,structure,1,[simulated],1,-0.10823268443346024,-0.11665995046496391,0.1611764709154765,0.1436254382133484,0
1:4:1,structure,1,[simulated],2,-0.07604071497917175,-0.11044802889227867,0.11705944140752157,0.14538460969924927,0
1:4:1,structure,1,[simulated],3,-0.058247439563274384,-0.08875591680407524,0.16156452894210815,0.14634978771209717,0
1:4:1,structure,1,[simulated],4,-0.0499517098069191,-0.0668461521466573,0.17009449402491253,0.17888766527175903,0
1:4:1,structure,1,[simulated],5,-0.018261875957250595,-0.05196588672697544,0.1356412967046102,0.15441858768463135,0
1:4:1,structure,1,[simulated],6,-0.004036238417029381,-0.029174331886072952,0.16433621644973756,0.15810561180114746,0
