rank,category,prompt,mean_score,std_score,min_score,max_score,n_samples,audio_paths
1,GENRES,reggae rhythm,0.446278,0.034564,0.411714,0.480841,2,scripts/outputs/prompt_clap_consistency/audio/GENRES__reggae_rhythm__s0.wav;scripts/outputs/prompt_clap_consistency/audio/GENRES__reggae_rhythm__s1.wav
2,GENRES,ambient soundscape,0.440986,0.040476,0.400510,0.481462,2,scripts/outputs/prompt_clap_consistency/audio/GENRES__ambient_soundscape__s0.wav;scripts/outputs/prompt_clap_consistency/audio/GENRES__ambient_soundscape__s1.wav
3,COMPOUND_PHRASES,distorted electric guitar power chords,0.433629,0.024053,0.409576,0.457683,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__distorted_electric_guitar_power_chords__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__distorted_electric_guitar_power_chords__s1.wav
4,COMPOUND_PHRASES,aggressive electronic beat with heavy bass,0.431729,0.004327,0.427402,0.436056,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__aggressive_electronic_beat_with_heavy_ba__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__aggressive_electronic_beat_with_heavy_ba__s1.wav
5,COMPOUND_PHRASES,mysterious ambient synthesizer pad,0.421898,0.006934,0.414964,0.428832,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__mysterious_ambient_synthesizer_pad__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__mysterious_ambient_synthesizer_pad__s1.wav
6,ENVIRONMENTS,crackling fire,0.412707,0.004887,0.407820,0.417594,2,scripts/outputs/prompt_clap_consistency/audio/ENVIRONMENTS__crackling_fire__s0.wav;scripts/outputs/prompt_clap_consistency/audio/ENVIRONMENTS__crackling_fire__s1.wav
7,GENRES,lofi hip hop,0.411464,0.010168,0.401296,0.421631,2,scripts/outputs/prompt_clap_consistency/audio/GENRES__lofi_hip_hop__s0.wav;scripts/outputs/prompt_clap_consistency/audio/GENRES__lofi_hip_hop__s1.wav
8,GENRES,classical orchestral music,0.408671,0.023970,0.384701,0.432642,2,scripts/outputs/prompt_clap_consistency/audio/GENRES__classical_orchestral_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/GENRES__classical_orchestral_music__s1.wav
9,INSTRUMENTS,banjo folk melody,0.401868,0.012106,0.389762,0.413975,2,scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__banjo_folk_melody__s0.wav;scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__banjo_folk_melody__s1.wav
10,EMOTION_MOOD,triumphant and majestic music,0.397673,0.026428,0.371245,0.424101,2,scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__triumphant_and_majestic_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__triumphant_and_majestic_music__s1.wav
11,COMPOUND_PHRASES,emotional violin solo with orchestra,0.396058,0.004244,0.391814,0.400303,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__emotional_violin_solo_with_orchestra__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__emotional_violin_solo_with_orchestra__s1.wav
12,COMPOUND_PHRASES,fast-paced electronic dance track,0.395796,0.043698,0.352098,0.439494,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__fast_paced_electronic_dance_track__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__fast_paced_electronic_dance_track__s1.wav
13,INSTRUMENTS,solo piano melody,0.388476,0.013273,0.375204,0.401749,2,scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__solo_piano_melody__s0.wav;scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__solo_piano_melody__s1.wav
14,COMPOUND_PHRASES,gentle lullaby with music box melody,0.388149,0.042568,0.345580,0.430717,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__gentle_lullaby_with_music_box_melody__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__gentle_lullaby_with_music_box_melody__s1.wav
15,TEXTURES,staccato rhythmic music,0.386622,0.005971,0.380652,0.392593,2,scripts/outputs/prompt_clap_consistency/audio/TEXTURES__staccato_rhythmic_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/TEXTURES__staccato_rhythmic_music__s1.wav
